DataSet,Feature,BiomarkerSampleType,pH,DIC (mM),DOC (uM),DIN (uM),SRP (uM),DO (uM),Na (mM),Ca (mM),SO4 (mM),Cl (mM)
Shared,Atribacteria,EMB,-0.839*,0.867*,0.761*,0.496,-0.491,-0.775*,0.847**,0.808**,0.847**,0.821**
Shared,Bacteria_unclassified,EMB,-0.586,0.786*,0.714,0.600,-0.339,-0.703,0.794**,0.721*,0.818**,0.770*
Shared,DHVE6,EMB,-0.839*,0.788*,0.710,0.583,-0.609,-0.775*,0.808**,0.782**,0.808**,0.782**
Shared,Parcubacteria,EMB,-0.561,0.821*,0.738*,0.783*,-0.235,-0.595,0.608,0.571,0.571,0.663*
Shared,Tenericutes,EMB,-0.741*,0.685,0.647,0.628,-0.559,-0.745,0.835**,0.793**,0.872**,0.793**
All only,Chlorophyta_ph,NOF,0.778*,-0.691,-0.712,-0.604,0.173,0.752,-0.659*,-0.683*,-0.843**,-0.622
All only,Chloroplast_ph,NOF,0.736*,-0.883**,-0.854**,-0.373,0.345,0.664,-0.730*,-0.742*,-0.742*,-0.706*
All only,Eukaryota_unclassified,NOF,0.675,-0.704,-0.761*,-0.347,0.515,0.860*,-0.601,-0.627,-0.705*,-0.524
All only,Ochrophyta,NOF,0.875**,-0.630,-0.710,-0.533,0.457,0.935**,-0.747*,-0.778**,-0.872**,-0.690*
Prokaryotes only,Bacteroidetes,NOF,0.122,0.107,-0.024,0.450,0.183,-0.090,0.224,0.091,0.224,0.273
Prokaryotes only,Cyanobacteria,NOF,0.798*,-0.721,-0.587,-0.285,-0.066,0.345,-0.523,-0.596,-0.571,-0.565
Prokaryotes only,Verrucomicrobia,NOF,0.614,-0.414,-0.464,0.186,0.230,0.598,-0.288,-0.350,-0.472,-0.178
