"Spearmans's correlations (rho, lower triangle) between geoochemical paramertes collected for Blood Falls and West lobe Lake Bonney samples, with p-values corrected for false discovery rate by the Benjamini-Hochberg method (upper triangle):"
,pH,DIC (mM),DOC (uM),DIN (uM),SRP (uM),DO (uM),Na (mM),Ca (mM),SO4 (mM),Cl (mM)
pH,,0.004,0.008,0.136,0.617,0.039,0.001,0.001,0.002,0.001
DIC (mM),-0.865,,0.016,0.465,0.487,0.071,0.000,0.000,0.002,0.000
DOC (uM),-0.831,0.783,,0.088,0.250,0.122,0.004,0.028,0.066,0.007
DIN (uM),-0.559,0.300,0.588,,0.770,0.085,0.271,0.402,0.261,0.240
SRP (uM),-0.204,0.285,0.423,0.107,,0.149,0.617,0.957,0.923,0.536
DO (uM),0.755,-0.690,-0.577,-0.628,0.545,,0.037,0.008,0.001,0.047
Na (mM),-0.890,0.967,0.830,0.382,0.181,-0.720,,0.000,0.000,0.000
Ca (mM),-0.877,0.950,0.709,0.300,-0.019,-0.828,0.944,,0.000,0.000
SO4 (mM),-0.853,0.883,0.624,0.391,-0.037,-0.904,0.909,0.951,,0.000
Cl (mM),-0.890,0.967,0.806,0.409,0.223,-0.695,0.986,0.923,0.874,

"DIC: Dissolved Inorganic Carbon, DOC: Dissolved Organic Carbon, DIN: Dissolved Inorganic Nitrogen, DO: Dissolved Oxygen"
